design_id,D_r_mm,L_r_mm,D_se_mm,q,Q_s,N_s,N_r,I_n_A,I_m_A,P_Fe_W,P_Cu_W,eta_analit,V_active_cm3,selected_as
P000,135.58080623687758,54.39017394443252,249.87801560227382,2.0,36,72,63,92.33610341643585,31.851351236750787,693.1925823673113,1757.424346715715,0.95327763384754,2667.2665945702374,min_V
P001,197.29206210359064,79.14884088313394,311.6666306451531,2.0,36,42,53,92.33610341643585,19.09625427031066,880.5825059082306,753.5903819516875,0.9683509428647372,6038.305091111224,max_eta
P002,197.27637084454008,79.21168337579832,309.0290090686243,2.0,36,42,68,92.33610341643585,14.86260249213933,878.1404592575752,766.9753926037962,0.9681457612258976,5941.247202120914,
P003,194.3908803278525,77.9214049366386,297.4746551280023,2.0,36,36,64,92.33610341643585,12.783093594573888,886.1182425157725,763.6362782244402,0.9680588119721315,5415.6001939769985,
P004,133.40636796119998,53.54472697134922,254.38106037393092,2.0,36,66,52,92.33610341643585,34.53929243994402,782.8847657759106,1573.3654643138173,0.9549958176963643,2721.298212666035,
P005,140.31412970618985,56.26526685506749,248.99824459086426,2.0,36,60,63,92.33610341643585,25.372000855261078,774.5019584463945,1509.1678732541316,0.956321546688448,2739.8250691588614,
P006,135.58080623687758,54.39017394443252,251.30975387612952,2.0,36,66,63,92.33610341643585,33.810974299007704,753.0644807741733,1638.4823096189268,0.954352430174258,2697.919696424977,
P007,188.91017631640315,75.71986171938589,295.5318625249261,2.0,36,36,53,92.33610341643585,15.570447313920049,931.1826216122445,748.8771928399451,0.9674911402872959,5194.076182659858,
P008,135.58080623687758,54.296613868204226,251.0192493621383,2.0,36,72,63,92.33610341643585,31.961213790319974,682.8418193756538,1755.055205921855,0.9535088711867793,2687.055772433855,
P009,188.62340003618218,75.61314662983887,291.11180339051435,2.0,36,36,53,92.33610341643585,15.473366316525885,890.8062327236597,797.0777003342395,0.9673446888395757,5032.7669735108275,
P010,188.84008725085292,75.74322712013361,286.4944717908685,2.0,36,36,73,92.33610341643585,11.20321220024911,825.6141181457045,874.2355008333896,0.9671208014818852,4882.7689991426,
P011,145.0183902885301,58.181563318634225,248.45038575407614,2.0,36,54,52,92.33610341643585,29.65936247155866,811.1984876394345,1415.3643821649798,0.9573672333108534,2820.685191737546,
P012,188.84008725085292,75.74266424305355,291.3465164209452,2.0,36,36,73,92.33610341643585,11.203378712870895,879.1338245919112,802.648844365523,0.9674588881786464,5049.520248423558,
P013,168.10827850503617,67.36491560615178,265.6567801283343,2.0,36,42,52,92.33610341643585,21.05153772883657,769.6645507691408,1126.61084719397,0.9634602795013391,3733.9238823799988,
P014,157.90493708487156,63.27942436762159,271.6563051056014,2.0,36,48,64,92.33610341643585,19.3943735786401,777.8035935833736,1128.734717060352,0.963269785027202,3667.684585574988,
P015,133.54250996834435,53.58716557326655,254.10503086206077,2.0,36,66,53,92.33610341643585,33.69195264346783,781.1510154702602,1581.1004216519932,0.954886366183874,2717.5478166111825,
P016,148.07026883333657,59.34959968133453,250.26406687508523,2.0,36,54,53,92.33610341643585,27.3504297012202,808.4684540510071,1367.378682672007,0.958297809118051,2919.474395562306,
P017,194.3908803278525,77.91083637192857,293.6288311285988,2.0,36,36,68,92.33610341643585,12.043362759632712,892.8269048725599,781.1086424244559,0.9676058049465797,5275.761332196238,
P018,168.87169471676228,67.69490073794798,286.1902998039081,2.0,36,48,68,92.33610341643585,17.84993005771302,813.1859105965851,964.5733436773775,0.9656655815184351,4354.674079874611,
P019,177.95278547533016,71.37636104252259,280.88775219906586,2.0,36,42,73,92.33610341643585,15.47834431909744,781.4124651387931,983.0501258874575,0.9659136306510766,4422.928201562755,
P020,157.82703645171108,63.330748512913665,260.50881078824744,2.0,36,48,53,92.33610341643585,23.442365214485918,748.3758255419589,1237.9797095682436,0.9617908292538669,3375.5872288440855,
P021,168.9409290691788,67.70268738408622,270.66078345313304,2.0,36,42,73,92.33610341643585,14.731440489442035,783.6002158428828,1067.6191476266238,0.9642974767769157,3895.3497576759983,
P022,181.4773036401464,72.80485336008795,282.8490693730764,2.0,36,42,53,92.33610341643585,19.594096072914102,796.3022947276986,945.4976750005226,0.9663366954619423,4574.669473970165,
P023,157.60929951508305,63.200918679672704,253.68488911866777,2.0,36,48,52,92.33610341643585,24.36742161100113,858.1885464083493,1209.4543004562977,0.9602892941985917,3194.496896450122,
P024,180.99341822899675,72.54041998460055,279.92148103026136,2.0,36,42,53,92.33610341643585,19.631720459118846,770.6037327781893,985.8117498286315,0.9660638112931704,4464.187238026717,
P025,140.3954573721892,56.29821280644699,249.56013401566577,2.0,36,60,52,92.33610341643585,30.960979794100403,777.0936457034743,1503.3462431256935,0.9563806292816516,2753.8159439052106,
P026,168.78388366239147,67.72516824508368,266.61268546679014,2.0,36,42,53,92.33610341643585,20.917236994997378,761.0459043009646,1127.9708322447375,0.9635950562305556,3780.955732616653,mid
P027,169.95472974711117,68.04910931010815,282.3849639299344,2.0,36,42,53,92.33610341643585,20.008429865415895,852.8979947646678,927.2267800989687,0.9656214661010668,4261.823531276228,
P028,140.39557707132644,56.29738954740038,251.36802959245796,2.0,36,60,58,92.33610341643585,27.495871242737092,783.1026433634685,1481.7348425863436,0.9566661335824748,2793.8187041905157,
P029,169.95472974711117,68.04910931010815,280.1988946157864,2.0,36,42,52,92.33610341643585,20.388419141320405,869.5468148590005,927.2809861873526,0.9653100802244485,4196.09354797065,
P030,181.34640537081378,72.60964781227472,290.1809995738311,2.0,36,42,64,92.33610341643585,16.34002703124961,838.7785225392637,871.1795219587497,0.9669317456605449,4802.000006932984,high_eta_mid
P031,156.74780787414235,62.89952307992625,264.7416178892665,2.0,36,48,53,92.33610341643585,24.580516249047147,764.1170022673866,1200.5535606726164,0.9621921866980687,3462.4353340712473,
P032,188.84008725085292,75.74322712013361,286.21049833928413,2.0,36,36,75,92.33610341643585,10.904459874909135,822.4725500060946,879.17671459479,0.9670871376676571,4873.094190623258,
P033,157.66068442289037,63.20359915688294,262.14956383264274,2.0,36,48,53,92.33610341643585,23.385700384462574,756.1100800786592,1221.6825523522325,0.9619492761761322,3411.3789898469854,
P034,180.95806463724207,72.60090871471179,280.97687282334175,2.0,36,42,53,92.33610341643585,19.90911958227202,758.3311514527835,993.2666338070896,0.9661537448074933,4501.664111190548,
P035,180.7493903675928,72.36412807865905,288.0625611690781,2.0,36,42,64,92.33610341643585,16.636566628445735,858.1572056761675,870.5959612578174,0.966580420731288,4716.141754830244,
P036,140.3954573721892,56.29821280644699,252.1455220758828,2.0,36,60,59,92.33610341643585,26.925260728916967,794.8682802080058,1459.3339179795782,0.956860843657359,2811.16935143832,
P037,157.70866761788471,63.24887063261167,254.27806433834655,2.0,36,48,63,92.33610341643585,19.74375783540889,838.9428064738265,1213.442181411779,0.9605707790649118,3211.888423318999,
P038,148.454339849047,59.55456237444032,246.83951291427206,2.0,36,54,64,92.33610341643585,22.395990233596944,781.0844756850781,1421.591073302277,0.9578053131219233,2849.9305744551357,
P039,194.3908803278525,78.00247177659571,294.957738373326,2.0,36,36,53,92.33610341643585,15.415578037239937,877.6500575203225,781.9547385391988,0.967874225855748,5329.884963158304,
P040,179.72385630588542,71.9599921661003,290.284755882262,2.0,36,42,64,92.33610341643585,16.938137812721727,851.3733828382653,868.1780089196754,0.9667523915910847,4762.439243422094,
P041,157.54945132467134,63.256659987316944,267.4936228074724,2.0,36,48,54,92.33610341643585,23.015728430808604,717.851397086858,1217.5769567072289,0.9627339483827961,3554.864109082703,
P042,194.38236236541806,77.9206480520636,294.8751313666762,2.0,36,36,53,92.33610341643585,15.50857440943321,908.8019592483386,764.1114018400883,0.9676249459867268,5321.312105997197,
P043,157.88661493702367,63.338451522478955,247.5188768462707,2.0,36,48,64,92.33610341643585,19.393447424724297,778.4589402500483,1340.28994746934,0.9593476640760533,3047.7123465450263,
P044,156.74780787414235,62.89705989327851,258.7667297481483,2.0,36,48,53,92.33610341643585,23.69450294148333,696.6869187250295,1323.0603108999835,0.9611734516757748,3307.7836860511215,
P045,169.95472974711117,68.04910931010815,281.84445481470925,2.0,36,42,52,92.33610341643585,20.177155441522277,848.8995367372012,937.059173583618,0.9655126842333638,4245.52415163934,
P046,194.3908803278525,77.91083637192857,295.91069730986095,2.0,36,36,68,92.33610341643585,12.02731570879075,872.9854699644566,780.942316073458,0.9679805997931299,5358.078581457637,
P047,181.47023236078888,72.81420074484114,284.4502284112238,2.0,36,42,64,92.33610341643585,16.223459293724712,783.5247604494938,945.5955427677402,0.966573560635059,4627.202882547491,
P048,157.51284412370075,63.20722478115594,263.1778550455819,2.0,36,48,52,92.33610341643585,24.398920701314132,761.7273448232297,1210.2536662086702,0.9620568434631477,3438.3912242828847,
P049,156.74780787414235,62.89950929542111,260.776947419013,2.0,36,48,53,92.33610341643585,24.580527022749305,730.6928502352479,1268.7510093111957,0.9615487453106795,3359.5068682137544,
P050,148.07026883333657,59.478093687430864,251.20602488291783,2.0,36,54,53,92.33610341643585,27.232383882413146,816.3252499448133,1350.209438230774,0.9584688785420383,2947.861156310026,
P051,168.5251401093793,67.6269708452213,269.7005569576441,2.0,36,42,53,92.33610341643585,20.603877238761918,773.4265519677733,1092.8894105517497,0.964016801118703,3863.434048072659,
P052,169.50017805822253,67.92764196486408,267.0296304265915,2.0,36,42,53,92.33610341643585,20.021112612050906,758.07670491634,1123.4858304583763,0.9637335029358108,3804.1298221170605,
P053,157.50254392131325,63.13024892960284,249.17899291497537,2.0,36,48,53,92.33610341643585,24.03465236488542,818.3108804914798,1291.244042519476,0.9595169268644166,3078.5785256149643,
P054,156.74780787414235,62.864907609025686,250.8328074687768,2.0,36,48,58,92.33610341643585,21.95363187648698,829.0780503627263,1264.8278640576234,0.9598051657355045,3106.4676912646783,
P055,169.530161293319,67.9386501835125,272.9570627051579,2.0,36,42,52,92.33610341643585,20.33121306080549,761.1346257784508,1068.2838685743372,0.9647030866350137,3975.5339583173204,
P056,148.454339849047,59.554560794029356,247.90501847769877,2.0,36,54,64,92.33610341643585,22.05525873115709,767.902421721755,1419.3266415506494,0.95808880635106,2874.5875781115537,
P057,147.50306274416315,59.15002397870422,246.82734282428083,2.0,36,54,53,92.33610341643585,27.27072619668554,786.2200837930195,1425.294919517064,0.9576431558599693,2830.292641415487,
P058,157.51052740484516,63.1708021123015,251.32337152511013,2.0,36,48,53,92.33610341643585,23.57685076883017,818.8068490941392,1262.9360873577496,0.9600293150904732,3133.805418376081,
P059,181.47023236078888,72.81437244224584,284.4806825923055,2.0,36,42,53,92.33610341643585,19.590499964962127,783.3044510261947,945.700461556324,0.9665757167472218,4628.204656215862,
P060,197.27672057386656,79.20810437295579,310.0653098095007,2.0,36,42,68,92.33610341643585,15.176405880384356,868.6691309134467,769.4336090362975,0.9682772477486391,5980.8906349399,
P061,148.454339849047,59.554560794029356,247.89850554742472,2.0,36,54,64,92.33610341643585,22.05525873115709,767.8963378543269,1420.4524950670166,0.9580682492958871,2874.436538470267,
P062,170.05535195278833,68.16807855051377,270.78527060924586,2.0,36,42,53,92.33610341643585,19.885913743895422,774.0175430898764,1073.2611395962062,0.9643707687342332,3925.7352574948513,
P063,157.46114496865815,63.16936964280799,269.00757963313674,2.0,36,48,50,92.33610341643585,24.893963198956186,757.6578524649888,1167.1886621819262,0.9629301453186971,3590.256345714963,
P064,157.6034243196935,63.241150460947985,266.22857703437126,2.0,36,48,52,92.33610341643585,24.01985753353676,742.36894146771,1200.0784112887904,0.96260385384684,3520.4565215070515,
P065,182.52314924463053,73.16518177223654,281.26508476799285,2.0,36,42,53,92.33610341643585,19.285429569595077,752.0377617629415,994.5995212617141,0.9662463616046867,4545.9639226931395,
P066,169.95472974711117,68.04910931010815,279.31138739835467,2.0,36,42,52,92.33610341643585,20.176371685296132,861.1155032912914,937.0543475661448,0.9652850698000546,4169.554075143205,
P067,169.95393124804795,68.10864566911076,274.5660799359249,2.0,36,42,74,92.33610341643585,14.317326307465182,751.5453852350028,1071.9889316488616,0.9648126215064076,4032.6069313219964,
P068,156.74780787414235,62.89705989327851,257.62248684627104,2.0,36,48,53,92.33610341643585,23.69450294148333,704.070334312961,1323.9469902128417,0.9610206686932541,3278.594927911957,
P069,168.55340895996025,67.5729224634073,277.01546049492686,2.0,36,42,52,92.33610341643585,20.8863422738114,843.3787357101846,977.1065863670676,0.9648693887993816,4072.5891487466442,
P070,180.7493903675928,72.3693817232172,288.689465411039,2.0,36,42,64,92.33610341643585,16.557544353598566,856.9083580823514,870.0224061331537,0.9666144745357638,4737.035247720487,
P071,168.87169471676228,67.69540409508896,279.2842266362838,2.0,36,48,68,92.33610341643585,17.84966460819022,755.7505982154523,1049.8804342783387,0.9651460469352984,4147.074937942869,
P072,157.52103483781187,63.14769891825925,270.3307100647161,2.0,36,48,58,92.33610341643585,21.56620094195039,757.130512955084,1158.5492021175678,0.9631001707848877,3624.417188120513,
P073,170.05535195278833,68.17475100412031,271.73661814949173,2.0,36,42,52,92.33610341643585,20.264367918869294,762.9580649758192,1073.323701441539,0.9645753571853024,3953.755181966368,
P074,169.8949765664487,68.10490692110712,274.0562953100629,2.0,36,42,58,92.33610341643585,18.634757618360247,749.2714623229227,1078.5095986231913,0.9647335652128969,4017.4256712261777,
P075,157.45242077268523,63.22113064602973,270.66136773421664,2.0,36,48,67,92.33610341643585,18.832049727960346,770.0270665786738,1144.0567380780874,0.963129777810216,3637.5140885558103,
